tiempo_maximo,intensidad_maxima,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,TTP50,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
8.0,5.454545454545454,5.0,2.0,5.363636363636363,0.0909090909090908,3.0,6.119366132765231,1.1193661327652311,0.0,0.0303030303030302,-3.0,10.0,11.0,1.0
9.0,22.818181818181817,18.272727272727277,11.0,19.272727272727277,0.2487562189054725,5.0,6.715020275241028,2.715020275241029,3.0,0.0497512437810945,7.0,15.0,11.0,2.0
19.0,6.136363636363638,5.8181818181818175,20.0,5.954545454545454,0.0546875000000001,5.0,15.334401892462472,1.3344018924624717,9.0,0.0109375,6.0,23.0,22.0,2.0
2.0,24.33333333333333,19.666666666666668,4.0,20.444444444444443,0.2372881355932202,1.0,1.526565125128544,0.5265651251285439,3.0,0.2372881355932202,3.0,5.0,9.0,2.0
1.0,24.27272727272727,23.72727272727273,8.0,19.63636363636364,0.0229885057471261,1.0,0.5028409702367815,0.5028409702367815,7.0,0.0229885057471261,8.0,13.0,11.0,2.0
1.0,6.5555555555555545,6.0,6.0,5.888888888888888,0.0925925925925924,1.0,0.5110655598409268,0.5110655598409268,5.0,0.0925925925925924,6.0,7.0,9.0,2.0
5.0,6.5555555555555545,5.777777777777778,1.0,6.0,0.1346153846153844,2.0,4.165665940648342,1.165665940648342,2.0,0.0673076923076922,-2.0,9.0,9.0,2.0
11.0,23.63636363636364,18.90909090909091,17.0,18.227272727272727,0.2499999999999999,3.0,9.279871007890405,1.2798710078904048,18.0,0.0833333333333333,9.0,23.0,22.0,2.0
2.0,6.888888888888888,5.888888888888888,5.0,5.666666666666668,0.1698113207547169,2.0,1.2150580732315537,1.2150580732315537,2.0,0.0849056603773584,5.0,11.0,9.0,2.0
11.0,23.444444444444446,20.11111111111111,13.0,19.444444444444443,0.1657458563535911,7.0,6.247650942632463,2.247650942632463,10.0,0.0236779794790844,9.0,14.0,18.0,2.0
11.0,6.333333333333332,5.7333333333333325,12.0,5.933333333333334,0.1046511627906976,7.0,4.793302956975759,0.7933029569757588,7.0,0.0149501661129568,8.0,19.0,15.0,2.0
21.0,6.34375,5.84375,22.0,5.84375,0.0855614973262032,10.0,18.13458783542627,7.13458783542627,15.0,0.0085561497326203,11.0,26.0,32.0,2.0
9.0,24.84615384615385,20.46153846153846,12.0,19.69230769230769,0.2142857142857145,8.0,5.898676282629185,4.898676282629185,8.0,0.0267857142857143,11.0,14.0,13.0,2.0
8.0,25.45454545454545,19.454545454545453,9.0,22.0,0.308411214953271,6.0,5.46966939807767,3.4696693980776714,5.0,0.0514018691588785,7.0,11.0,11.0,2.0
